stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Kyang\source\repos\pi\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.15788] added dtor for sub_bitmap 0000021FC4D7E240, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15794] added dtor for sub_bitmap 0000021FC4D7CEE0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15801] added dtor for sub_bitmap 0000021FC4D7DA80, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15807] added dtor for sub_bitmap 0000021FC4D7D2C0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15814] added dtor for sub_bitmap 0000021FC4D7E050, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15820] added dtor for sub_bitmap 0000021FC4D7E430, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15826] added dtor for sub_bitmap 0000021FC4D7C720, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15833] added dtor for sub_bitmap 0000021FC4D7C910, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15839] added dtor for sub_bitmap 0000021FC4D7CB00, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15845] added dtor for sub_bitmap 0000021FC4D7CCF0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15853] added dtor for sub_bitmap 0000021FC4D7DC70, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15861] added dtor for sub_bitmap 0000021FC4D7D4B0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15867] added dtor for sub_bitmap 0000021FC4D7D6A0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15874] added dtor for sub_bitmap 0000021FC4D7D890, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15880] added dtor for sub_bitmap 0000021FC4D7DE60, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15888] added dtor for sub_bitmap 0000021FC6807150, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15894] added dtor for sub_bitmap 0000021FC68086A0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15901] added dtor for sub_bitmap 0000021FC68082C0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15908] added dtor for sub_bitmap 0000021FC6806F60, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15916] added dtor for sub_bitmap 0000021FC6807340, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15923] added dtor for sub_bitmap 0000021FC6807EE0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15930] added dtor for sub_bitmap 0000021FC6807530, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15937] added dtor for sub_bitmap 0000021FC6807720, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15944] added dtor for sub_bitmap 0000021FC6807CF0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15951] added dtor for sub_bitmap 0000021FC6807910, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15958] added dtor for sub_bitmap 0000021FC6807B00, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15964] added dtor for sub_bitmap 0000021FC68080D0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15971] added dtor for sub_bitmap 0000021FC68084B0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15978] added dtor for sub_bitmap 0000021FC6808890, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15984] added dtor for sub_bitmap 0000021FC6808A80, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15991] added dtor for sub_bitmap 0000021FC6808C70, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.15998] added dtor for sub_bitmap 0000021FC680B6C0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16005] added dtor for sub_bitmap 0000021FC680B0F0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16011] added dtor for sub_bitmap 0000021FC680A740, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16018] added dtor for sub_bitmap 0000021FC680AB20, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16024] added dtor for sub_bitmap 0000021FC680AD10, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16031] added dtor for sub_bitmap 0000021FC680A550, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16037] added dtor for sub_bitmap 0000021FC680AF00, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16044] added dtor for sub_bitmap 0000021FC680A930, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16051] added dtor for sub_bitmap 0000021FC680B2E0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16057] added dtor for sub_bitmap 0000021FC680B8B0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16064] added dtor for sub_bitmap 0000021FC680BAA0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16071] added dtor for sub_bitmap 0000021FC680B4D0, func 00007FFD5418118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.16078] added dtor for sub_bitmap 0000021FC680BC90, func 00007FFD5418118B
